순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2138627690,(주)이스텍  [최종낙찰],황복영,분석,100969010,88.2,88.093,89.244,0.3974 (100.3974),7 4,2022/10/04 09:42:56,
2,1168147309,문엔지니어링(주),김성만,분석,100971300,88.0,88.095,89.246,0.3997 (100.3997),15 4,2022/10/04 09:31:58,
3,2048137258,대신엔에스(주),정동진,분석,100971330,88.0,88.095,89.246,0.3998 (100.3998),5 6,2022/09/30 09:11:31,
4,1058795818,주식회사 티엠미디어,박용호,분석,100971776,88.0,88.096,89.247,0.4002 (100.4002),8 5,2022/10/04 08:33:13,
5,1198670032,주식회사 엠디에스모빌리티,김재욱,분석,100972134,88.0,88.096,89.247,0.4006 (100.4006),8 3,2022/09/29 11:17:32,
6,1218140540,영현정보통신(주),김두식,분석,100972641,88.0,88.097,89.247,0.4011 (100.4011),12 3,2022/10/04 08:23:46,
7,1068619761,(주) 한걸음정보통신,정진원,분석,100973744,88.0,88.098,89.248,0.4022 (100.4022),15 7,2022/09/30 07:50:59,
8,1078763383,주식회사 아이티블럭,배경원,분석,100974348,88.0,88.098,89.249,0.4028 (100.4028),3 9,2022/10/04 09:54:34,
9,1078128574,(주)대진정보텔레콤,경완수,분석,100977360,88.0,88.101,89.252,0.4057 (100.4057),14 2,2022/10/01 19:43:53,
10,1188109785,주식회사 안세기술,이용안,분석,100977930,88.0,88.102,89.252,0.4063 (100.4063),9 3,2022/09/30 13:58:53,
11,1078735096,주식회사 등대씨엔씨,서철승,분석,100979530,88.0,88.103,89.254,0.4079 (100.4079),15 8,2022/09/29 14:27:07,
12,1198637085,(주) 하이네트워크,이준수,분석,100980640,88.0,88.104,89.254,0.4090 (100.409),10 3,2022/09/30 11:09:49,
13,2178113330,(주)오성에스이엠,오성표,분석,100981185,87.8,88.105,89.255,0.4096 (100.4096),1 9,2022/10/04 08:56:34,
14,2168600026,주식회사 세인엔에스,김종술,분석,100982620,87.8,88.106,89.256,0.4110 (100.411),10 12,2022/09/30 09:54:32,
15,1238164140,주식회사 테크빌,정태운,분석,100983768,87.8,88.107,89.257,0.4121 (100.4121),14 9,2022/10/04 09:57:38,
16,1018172790,(주)공신데이타,서만식,분석,100985178,87.8,88.109,89.258,0.4135 (100.4135),9 8,2022/10/03 19:40:28,
17,1098610416,(주)네시비스,이은섭,분석,100987824,87.8,88.111,89.261,0.4162 (100.4162),7 12,2022/09/30 16:37:51,
18,2048170015,(주)하남통신,김종화,분석,100989864,87.8,88.113,89.263,0.4182 (100.4182),9 3,2022/09/30 15:05:38,
19,1118101759,신원전설(주),심한섭,분석,100990140,87.8,88.113,89.263,0.4185 (100.4185),11 12,2022/09/30 09:38:51,
20,8268102035,주식회사 더블유엔에스,박현준,분석,100997880,87.6,88.121,89.27,0.4262 (100.4262),3 13,2022/09/30 10:13:50,
21,2158676426,주식회사 건영이앤씨,박지명,분석,100998081,87.6,88.121,89.27,0.4264 (100.4264),14 2,2022/09/30 13:31:29,
22,2068679088,(주)한맥아이티,최예니,분석,101002849,87.4,88.125,89.274,0.4311 (100.4311),15 13,2022/09/29 14:07:26,
23,4098163161,(주)동우커뮤니케이션,송준성,분석,101002860,87.4,88.125,89.274,0.4311 (100.4311),15 12,2022/10/03 15:34:50,
24,1048635917,주식회사 비전에스엔씨,김국배,분석,101006450,87.4,88.129,89.277,0.4347 (100.4347),14 7,2022/10/04 09:45:01,
25,1078616772,노드링크주식회사,장용철,분석,101010350,87.4,88.132,89.281,0.4385 (100.4385),3 1,2022/10/04 09:44:13,
26,2200459632,하나정보통신,현광섭,분석,101011088,87.4,88.133,89.281,0.4393 (100.4393),15 11,2022/09/30 16:17:19,
27,7978100097,주식회사 신동아이앤지,신철호,분석,101012262,87.4,88.134,89.282,0.4405 (100.4405),9 4,2022/10/04 08:47:18,
28,2208110402,정안전기(주),이학용,분석,101014780,87.2,88.136,89.285,0.4430 (100.443),14 12,2022/10/04 09:42:12,
29,2048140753,(주)청효이씨이,이범석,분석,101017390,87.2,88.139,89.287,0.4456 (100.4456),8 10,2022/09/29 16:23:26,
30,1048120291,청음통신 주식회사,임광희,분석,101019600,87.2,88.141,89.289,0.4477 (100.4477),15 14,2022/10/04 09:13:12,
31,1198188750,한솔코에버 주식회사,반기동,분석,101022405,87.2,88.144,89.291,0.4505 (100.4505),10 3,2022/09/30 09:55:32,
32,1408138536,주)파인솔라,이태동,분석,101022700,87.2,88.144,89.292,0.4508 (100.4508),15 3,2022/09/29 14:55:15,
33,1058663420,(주)엠비에스엔지니어링,강형주,분석,101025034,87.0,88.146,89.294,0.4532 (100.4532),3 13,2022/10/01 10:35:46,
34,1380715369,영인 아이티 기술사 사무소,함영만,분석,101025638,87.0,88.147,89.294,0.4538 (100.4538),2 7,2022/09/30 08:44:20,
35,1148190678,주식회사 에드원,김춘걸,분석,101027050,87.0,88.148,89.296,0.4552 (100.4552),9 2,2022/10/04 09:51:14,
36,1068690366,(주)윈투스시스템,신경익,분석,101027146,87.0,88.148,89.296,0.4553 (100.4553),12 1,2022/09/29 12:10:46,
37,8348600218,주식회사 코리아통신,강우용,분석,101027190,87.0,88.148,89.296,0.4553 (100.4553),14 3,2022/10/03 20:16:21,
38,2148752525,(주)엘티네트워크,조완식,분석,101027850,87.0,88.149,89.296,0.4560 (100.456),9 1,2022/09/30 15:58:16,
39,2068694508,주식회사 웰정보기술,강희춘,분석,101028605,87.0,88.15,89.297,0.4567 (100.4567),7 8,2022/10/04 09:20:31,
40,1068644033,(주)코맥스디에스씨,안병호,분석,101030565,87.0,88.151,89.299,0.4587 (100.4587),14 1,2022/10/04 09:16:55,
41,1178164451,(주)지엠디텔레콤,김창윤,분석,101031270,87.0,88.152,89.299,0.4594 (100.4594),3 4,2022/09/30 10:28:38,
42,1248106672,(주)데스코,이상혁,분석,101031880,87.0,88.153,89.3,0.4600 (100.46),13 6,2022/10/04 08:58:51,
43,1198169165,(주)기창인포텍,김석진,분석,101036700,86.8,88.157,89.304,0.4648 (100.4648),12 9,2022/09/30 10:59:18,
44,5568600996,주영전자통신 주식회사,임채열,분석,101037710,86.8,88.158,89.305,0.4658 (100.4658),13 10,2022/09/30 15:05:44,
45,1428136631,주식회사 만사시스템,조호진,분석,101041430,86.8,88.162,89.308,0.4695 (100.4695),12 7,2022/09/29 13:17:56,
46,1328127945,부민통신 주식회사,박창욱,분석,101044746,86.6,88.165,89.311,0.4728 (100.4728),9 4,2022/09/29 14:24:05,
47,1128143733,공간미디어(주),김명숙,분석,101049945,86.6,88.17,89.316,0.4779 (100.4779),13 1,2022/10/04 07:31:22,
48,1018176627,(주)엔터정보통신,이용구,분석,101050680,86.6,88.17,89.316,0.4787 (100.4787),4 8,2022/09/29 13:20:41,
49,1208637260,에스피케이인크 주식회사,박성빈,분석,101054250,86.6,88.174,89.32,0.4822 (100.4822),10 13,2022/09/29 17:55:36,
50,2048131439,중앙텔콤(주),오충석,분석,101056513,86.4,88.176,89.322,0.4845 (100.4845),4 14,2022/09/30 16:54:11,
51,1068651233,(주)나사씨엔에스,신희태,분석,101060736,86.4,88.18,89.325,0.4887 (100.4887),8 9,2022/09/29 19:34:15,
52,2208725440,(주) 매그넷,김종민,분석,101063176,86.4,88.182,89.327,0.4911 (100.4911),6 2,2022/09/29 10:28:06,
53,1108175767,(주)에스에이치전기,김성태,분석,101063953,86.4,88.183,89.328,0.4918 (100.4918),15 9,2022/09/29 15:12:20,
54,1058162163,주식회사대한종합산전,이섭,분석,101064458,86.4,88.183,89.329,0.4924 (100.4924),10 12,2022/09/29 17:25:24,
55,1128141680,주식회사엠케이씨티,장재철,분석,101064940,86.4,88.184,89.329,0.4928 (100.4928),6 15,2022/10/04 08:50:31,
56,2098127963,상승종합통신 주식회사,조남각,분석,101066383,86.2,88.185,89.33,0.4943 (100.4943),4 1,2022/09/30 16:11:06,
57,1138139080,(주)성강통신기술사사무소,안치영,분석,101069720,86.2,88.188,89.333,0.4976 (100.4976),7 12,2022/10/04 09:16:43,
58,2088100603,(주)전우사,김한재,분석,101070970,86.2,88.189,89.334,0.4988 (100.4988),11 3,2022/09/30 13:41:56,
59,3958800527,주식회사 에스에이치아이티,정태순,분석,101076927,86.0,88.195,89.34,0.5048 (100.5048),1 4,2022/10/04 09:29:54,
60,1198153514,다린전력(주),오승한,분석,101077600,86.0,88.196,89.34,0.5054 (100.5054),4 1,2022/10/01 16:55:00,
61,1138135425,(주)뉴넷팝,이경택,분석,101080777,86.0,88.199,89.343,0.5086 (100.5086),5 12,2022/09/30 10:52:33,
62,1058628520,주식회사 파크로,최윤영,분석,101082664,86.0,88.201,89.345,0.5105 (100.5105),12 9,2022/10/04 09:47:01,
63,2118145912,영남스퀘어 주식회사,장한목,분석,101084450,86.0,88.202,89.346,0.5122 (100.5122),5 13,2022/09/30 11:14:02,
64,1198164229,(주) 이준시스템,한상훈,분석,101084500,86.0,88.202,89.346,0.5123 (100.5123),1 14,2022/09/30 15:43:31,
65,2648127825,주식회사 제이원아이티시스템,이준호,분석,101085174,86.0,88.203,89.347,0.5130 (100.513),8 4,2022/09/29 17:25:59,
66,1018144159,주식회사 넥선,박민호,분석,101085570,86.0,88.203,89.347,0.5133 (100.5133),8 7,2022/09/29 11:10:32,
67,1028135124,현대에이치디에스(주),고해룡,분석,101089700,85.8,88.207,89.351,0.5175 (100.5175),10 12,2022/09/30 16:15:39,
68,1128152663,한국아이디정보(주),송찬호,분석,101090705,85.8,88.208,89.352,0.5185 (100.5185),6 2,2022/09/30 17:22:40,
69,2148734721,(주)다모아테크,장용일,분석,101091820,85.8,88.209,89.353,0.5196 (100.5196),2 11,2022/10/04 09:59:52,
70,1068606738,(주)퓨쳐아이티,정정민,분석,101093800,85.8,88.211,89.355,0.5215 (100.5215),2 15,2022/09/30 13:34:20,
71,1088604075,청목이앤아이 주식회사,김희경,분석,101093974,85.8,88.211,89.355,0.5217 (100.5217),13 7,2022/09/30 17:05:27,
72,1068642995,(주)비엠시스솔루션,김시천,분석,101094236,85.8,88.211,89.355,0.5220 (100.522),8 13,2022/09/30 16:36:05,
73,1198137042,(주)진명연합전설,엄재준,분석,101095030,85.8,88.212,89.356,0.5228 (100.5228),6 12,2022/10/04 09:17:10,
74,1018651785,주식회사 청심아이티,김재균,분석,101097150,85.8,88.214,89.357,0.5249 (100.5249),1 3,2022/10/04 09:17:46,
75,2048161869,(주)근영이엔씨,이성영,분석,101098450,85.6,88.215,89.359,0.5262 (100.5262),15 3,2022/09/30 16:03:32,
76,1068157019,(주)세호영상,박석신,분석,101100570,85.6,88.217,89.36,0.5283 (100.5283),5 3,2022/09/30 10:50:13,
77,1068198683,주식회사 포인트정보,김종필,분석,101101265,85.6,88.218,89.361,0.5290 (100.529),1 13,2022/10/04 08:04:04,
78,1108127950,서경전기(주),이종환,분석,101103548,85.6,88.22,89.363,0.5312 (100.5312),6 1,2022/09/30 15:22:12,
79,4048131290,주식회사 아이앤씨코리아,박규성,분석,101106445,85.6,88.223,89.366,0.5341 (100.5341),9 1,2022/10/03 16:40:59,
80,2148122183,(주)하나전기,김선식,분석,101107954,85.6,88.224,89.367,0.5356 (100.5356),7 3,2022/09/29 15:58:47,
81,1058735163,주식회사 포스인텍,최시호,분석,101108596,85.4,88.225,89.368,0.5362 (100.5362),8 15,2022/10/04 09:08:21,
82,1098167078,(주)에스씨네트,이계영,분석,101109110,85.4,88.225,89.368,0.5368 (100.5368),2 12,2022/09/30 06:01:03,
83,1208163439,(주)아이엘에스씨,이병준,분석,101111850,85.4,88.228,89.37,0.5395 (100.5395),14 13,2022/10/04 09:33:58,
84,2158640952,(주)에스티탑,민기동,분석,101113535,85.4,88.23,89.372,0.5412 (100.5412),3 7,2022/10/04 08:33:44,
85,2118726218,주식회사 씨그테크,이윤호,분석,101117282,85.4,88.233,89.375,0.5449 (100.5449),10 12,2022/09/30 10:40:56,
86,1298141752,에이플시스템즈(주),윤진경,분석,101119170,85.2,88.235,89.377,0.5468 (100.5468),10 14,2022/09/30 10:14:06,
87,1198687872,주식회사 스타버킷,김영섭,분석,101120980,85.2,88.237,89.379,0.5486 (100.5486),10 1,2022/09/29 11:29:53,
88,1078197085,(주)코어넷,소흥섭,분석,101122910,85.2,88.239,89.38,0.5505 (100.5505),15 8,2022/10/03 17:01:39,
89,4658702093,주식회사 나지정보통신,엄혜선,분석,101122968,85.2,88.239,89.38,0.5505 (100.5505),1 2,2022/10/04 09:03:35,
90,4318600057,주식회사 엘제이텍,임재우,분석,101123566,85.2,88.239,89.381,0.5511 (100.5511),11 10,2022/09/29 15:11:14,
91,2208151999,현대에이치티 주식회사,이건구,분석,101126111,85.2,88.242,89.383,0.5537 (100.5537),1 6,2022/09/30 14:54:35,
92,2058140829,원앤원산업개발(주),배애순,분석,101128120,85.2,88.243,89.385,0.5557 (100.5557),14 9,2022/09/30 15:42:38,
93,2078127900,합동전자통신(주),하명용,분석,101130066,85.0,88.245,89.387,0.5576 (100.5576),15 8,2022/09/30 09:53:53,
94,1198647905,주식회사 리안시스템,원미리,분석,101131040,85.0,88.246,89.387,0.5586 (100.5586),13 3,2022/09/29 10:07:08,
