순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2208106252,(주)중선아이티씨,김학선,분석,45858813,85.0,89.401,90.12,0.2653 (100.2653),5 4,2021/05/17 09:30:57,
2,1068672072,(주)브이아이티정보통신,강상욱,분석,45859500,85.0,89.402,90.122,0.2668 (100.2668),8 2,2021/05/14 09:10:42,
3,2048170015,(주)하남통신,김종화,분석,45860840,85.0,89.405,90.124,0.2697 (100.2697),5 3,2021/05/14 10:10:03,
4,1048142446,(주)대성텔레콤,양종만,분석,45860940,85.0,89.405,90.124,0.2699 (100.2699),11 5,2021/05/18 09:36:48,
5,8568800361,주식회사 우선기술,정우영,분석,45861911,85.0,89.407,90.126,0.2720 (100.272),14 1,2021/05/14 10:16:16,
6,1098161598,(주)삼우씨앤에스,송민형,분석,45862710,85.0,89.409,90.128,0.2738 (100.2738),6 8,2021/05/17 08:14:53,
7,2158199031,한소리이앤씨주식회사,안홍희,분석,45862960,85.0,89.409,90.128,0.2743 (100.2743),1 4,2021/05/17 09:55:58,
8,2130230588,태극정보통신,이상호,분석,45863021,85.0,89.409,90.128,0.2745 (100.2745),3 1,2021/05/17 16:51:46,
9,1068616518,(주)애니씨앤에스,이일규,분석,45863070,85.0,89.409,90.129,0.2746 (100.2746),6 14,2021/05/17 17:45:29,
10,1068636509,청화하이테크 주식회사,김태훈,분석,45863250,85.0,89.41,90.129,0.2750 (100.275),9 8,2021/05/17 17:08:08,
11,2148134127,(주)대경텔레콤,오병도,분석,45863350,85.0,89.41,90.129,0.2752 (100.2752),3 8,2021/05/17 08:34:55,
12,1138694415,건웅정보통신 주식회사,김지유,분석,45864500,85.0,89.412,90.131,0.2777 (100.2777),2 3,2021/05/17 09:35:40,
13,1058606899,이화티티씨(주),이선정,분석,45865308,85.0,89.414,90.133,0.2795 (100.2795),11 3,2021/05/11 16:35:22,
14,1198175027,(주)케이웍스,김영주,분석,45865354,85.0,89.414,90.133,0.2796 (100.2796),12 6,2021/05/14 08:41:05,
15,2048620636,(주)유시스,이경재,분석,45865600,85.0,89.415,90.134,0.2801 (100.2801),9 1,2021/05/13 15:49:05,
16,1138185963,주식회사 스마트메카,이명주,분석,45865700,85.0,89.415,90.134,0.2803 (100.2803),7 8,2021/05/17 11:02:21,
17,1058730625,주식회사 신한네오텍,강미순,분석,45866360,85.0,89.416,90.135,0.2818 (100.2818),5 4,2021/05/14 13:51:30,
18,1178152367,(주)브레인컨설팅,안상철,분석,45866376,85.0,89.416,90.135,0.2818 (100.2818),6 10,2021/05/14 16:06:15,
19,1208662454,(주)위엠비,김수현,분석,45867170,85.0,89.418,90.137,0.2835 (100.2835),11 8,2021/05/17 10:13:07,
20,1138139080,(주)성강통신기술사사무소,안치영,분석,45867182,85.0,89.418,90.137,0.2835 (100.2835),7 3,2021/05/18 09:22:23,
21,1138653995,주식회사 아이티에스엠,봉상섭,분석,45867760,85.0,89.419,90.138,0.2848 (100.2848),14 13,2021/05/14 12:18:57,
22,8058600302,주식회사 케이엔엑스정보통신,홍지연,분석,45868430,85.0,89.42,90.139,0.2863 (100.2863),5 2,2021/05/17 10:20:44,
23,2068120414,(주)일광기업,오도진,분석,45868519,85.0,89.421,90.139,0.2865 (100.2865),13 8,2021/05/17 12:00:39,
24,2118606665,주식회사 아라랏,오선환,분석,45869562,85.0,89.423,90.141,0.2888 (100.2888),12 9,2021/05/17 21:08:16,
25,8908701311,(주)에이디넷,주종명,분석,45870841,85.0,89.425,90.144,0.2915 (100.2915),2 15,2021/05/17 07:54:01,
26,1138188878,주식회사 신영이엔티,이찬세,분석,45873260,85.0,89.43,90.149,0.2968 (100.2968),8 12,2021/05/13 14:27:39,
27,2018147460,태성전기통신(주),이덕우,분석,45873468,85.0,89.431,90.149,0.2973 (100.2973),8 4,2021/05/17 13:02:24,
28,2308103607,주식회사 디케이앤트,양동국,분석,45876320,85.0,89.437,90.155,0.3035 (100.3035),3 10,2021/05/13 16:58:36,
29,1138680513,주식회사연수이앤씨,조운호,분석,45876690,85.0,89.437,90.155,0.3043 (100.3043),13 3,2021/05/14 08:37:10,
30,2158673619,오다엔지니어링(주),윤철중,분석,45876840,85.0,89.438,90.156,0.3047 (100.3047),1 3,2021/05/17 14:21:05,
31,1138175669,(주)용상전기통신,권혁기,분석,45877560,85.0,89.439,90.157,0.3062 (100.3062),3 1,2021/05/18 09:05:08,
32,1178158978,주식회사 화일이엔에프,박광섭,분석,45877940,85.0,89.44,90.158,0.3071 (100.3071),9 8,2021/05/17 15:04:57,
33,2148772161,주식회사 비에스아이시스템,박해용,분석,45878800,85.0,89.442,90.159,0.3089 (100.3089),11 4,2021/05/17 09:27:17,
34,2098147159,(주)동방에스앤에스,정재훈,분석,45879121,85.0,89.442,90.16,0.3097 (100.3097),4 2,2021/05/17 16:57:05,
35,1198164229,(주) 이준시스템,한상훈,분석,45879500,85.0,89.443,90.161,0.3105 (100.3105),14 12,2021/05/17 09:28:36,
36,2108165652,키코아이비에스주식회사,공재근,분석,45881134,85.0,89.447,90.164,0.3141 (100.3141),2 10,2021/05/17 19:06:52,
37,1198153514,다린전력(주),오승한,분석,45883000,85.0,89.45,90.168,0.3181 (100.3181),7 8,2021/05/17 17:08:31,
38,1198173261,(주)현대네트웍기술,조성익,분석,45883150,85.0,89.451,90.168,0.3185 (100.3185),5 1,2021/05/17 09:16:59,
39,1358188617,주식회사 지에프씨코리아,안병모,분석,45883260,85.0,89.451,90.168,0.3187 (100.3187),5 11,2021/05/13 08:56:19,
40,1048190287,주식회사 콤텍정보,이동근,분석,45883285,85.0,89.451,90.168,0.3188 (100.3188),6 11,2021/05/18 09:43:09,
41,2068184529,(주)네오티엔씨,조정현,분석,45884800,85.0,89.454,90.171,0.3221 (100.3221),6 1,2021/05/17 13:45:52,
42,1018116968,(주)넥슨정보통신,신양인,분석,45885936,85.0,89.456,90.173,0.3246 (100.3246),4 11,2021/05/17 10:12:16,
43,2048187419,(주)디지털우민,문장석,분석,45885990,85.0,89.457,90.174,0.3247 (100.3247),9 13,2021/05/17 17:30:01,
44,2158603049,유니넷텍(주),김한호,분석,45886120,85.0,89.457,90.174,0.3250 (100.325),13 14,2021/05/17 13:53:01,
45,2048174554,주식회사 창흥텔레콤,진경미,분석,45886450,85.0,89.457,90.174,0.3257 (100.3257),2 1,2021/05/18 07:45:11,
46,2048131967,(주)용백전설,곽의영,분석,45886500,85.0,89.458,90.175,0.3258 (100.3258),2 10,2021/05/14 11:23:20,
47,2068625393,주식회사 성림전설,박상동,분석,45886750,85.0,89.458,90.175,0.3263 (100.3263),2 12,2021/05/12 10:00:56,
48,1108131416,중앙하이텔 주식회사,김광헌,분석,45888380,85.0,89.461,90.178,0.3299 (100.3299),3 11,2021/05/17 10:21:27,
49,7188100420,주식회사 오투정보통신,양성윤,분석,45888500,85.0,89.462,90.179,0.3302 (100.3302),8 15,2021/05/13 11:51:35,
50,1138131356,중원기전(주),김창중,분석,45890370,85.0,89.466,90.182,0.3342 (100.3342),14 4,2021/05/17 09:13:40,
51,2068125141,주식회사 스테이지넷,임영규,분석,45890398,85.0,89.466,90.182,0.3343 (100.3343),9 2,2021/05/14 09:36:00,
52,4098163161,(주)동우커뮤니케이션,송준성,분석,45891100,85.0,89.467,90.184,0.3358 (100.3358),3 11,2021/05/15 09:58:33,
53,2118696662,(주)아이넷빌더,박해성,분석,45891150,85.0,89.467,90.184,0.3360 (100.336),10 9,2021/05/13 09:45:58,
54,1898101636,주식회사 케이제이통신시스템,문장희,분석,45892339,85.0,89.47,90.186,0.3386 (100.3386),5 15,2021/05/17 08:57:46,
55,2158747516,(주) 제이에스통신정보,한택수,분석,45894123,85.0,89.473,90.19,0.3425 (100.3425),15 3,2021/05/17 09:28:14,
56,1138679165,주식회사 드림아이시스템,유원준,분석,45894580,85.0,89.474,90.19,0.3435 (100.3435),12 14,2021/05/13 11:03:15,
