순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,1108182195,주식회사 벨아이앤에스  [최종낙찰],한성욱,분석,132855888,85.0,91.214,91.935,0.0380 (100.038),2 7,2023/02/13 08:55:03,
2,2948601665,누리종합전기 주식회사,천금진,분석,132863350,85.0,91.22,91.94,0.0437 (100.0437),2 7,2023/02/10 20:09:02,
3,2068643595,주식회사 정형텔레콤,심재호,분석,132863736,85.0,91.22,91.94,0.0440 (100.044),10 11,2023/02/09 10:48:48,
4,1088122724,영진정보통신주식회사,김영식,분석,132869546,85.0,91.224,91.945,0.0483 (100.0483),10 5,2023/02/09 18:56:58,
5,8228700717,주식회사 해나정보통신,이창현,분석,132869800,85.0,91.225,91.945,0.0485 (100.0485),8 6,2023/02/09 15:45:34,
6,1058649262,주식회사 노하우전기통신,임창배,분석,132875550,85.0,91.229,91.949,0.0529 (100.0529),3 12,2023/02/09 11:28:48,
7,2148134127,(주)대경텔레콤,오병도,분석,132876620,85.0,91.23,91.949,0.0537 (100.0537),4 11,2023/02/10 09:22:53,
8,1078165206,앤아이에스(주),정성호,분석,132876746,85.0,91.23,91.949,0.0538 (100.0538),4 2,2023/02/10 09:57:35,
9,1048140865,다이아몬드전자(주),이건,분석,132879270,85.0,91.232,91.951,0.0557 (100.0557),14 3,2023/02/10 10:57:48,
10,2128166939,주식회사 연일전력,최희성,분석,132887105,85.0,91.237,91.957,0.0616 (100.0616),10 3,2023/02/09 14:52:56,
11,1068683638,주식회사 엔씨씨디지탈,이상호,분석,132889761,85.0,91.239,91.958,0.0636 (100.0636),9 2,2023/02/09 12:27:42,
12,2298139274,(주)영풍전력설비,심문수,분석,132889900,85.0,91.24,91.959,0.0637 (100.0637),3 9,2023/02/09 10:19:03,
13,2158182826,(주)한국전설엔지니어링,허만일,분석,132890160,85.0,91.24,91.959,0.0639 (100.0639),8 13,2023/02/13 09:16:53,
14,6618702691,(주)대창일렉스,송효양,분석,132891220,85.0,91.241,91.96,0.0646 (100.0646),12 9,2023/02/13 09:06:44,
15,2148734283,(주)뉴넷정보기술,김종원,분석,132896047,85.0,91.244,91.963,0.0683 (100.0683),9 13,2023/02/09 10:08:37,
16,2048162437,다남전기(주),이병근,분석,132896770,85.0,91.245,91.963,0.0688 (100.0688),12 7,2023/02/10 10:38:57,
17,3148189882,주식회사 제이케이씨엔에스,이동호,분석,132901980,85.0,91.249,91.967,0.0728 (100.0728),11 3,2023/02/10 13:47:34,
