순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,1148600716,유티모스트아이엔에스(주)  [최종낙찰],박흥태,분석,191450050,89.8,88.013,88.825,0.4668 (100.4668),14 8,2023/11/22 14:11:05,
2,1108179327,(주) 유엘네트웍스,정재순,분석,191452720,89.8,88.014,88.827,0.4682 (100.4682),3 5,2023/11/21 10:57:34,
3,2128107793,호곡종합건설(주),박성환,분석,191455384,89.6,88.015,88.828,0.4696 (100.4696),11 1,2023/11/23 09:46:49,
4,1200582335,델타전자통신,이성남,분석,191456210,89.6,88.016,88.828,0.4700 (100.47),11 15,2023/11/23 01:44:38,
5,2208123149,(주)에이제이월드,최순호,분석,191459580,89.6,88.017,88.83,0.4718 (100.4718),15 5,2023/11/22 12:37:59,
6,1138163218,(주)신성하이텍,성성모,분석,191463102,89.6,88.019,88.831,0.4736 (100.4736),11 15,2023/11/21 10:02:18,
7,2108160017,(주)누리온정보통신,박종수,분석,191464580,89.6,88.02,88.832,0.4744 (100.4744),1 7,2023/11/23 09:22:03,
8,1198687872,주식회사 스타버킷,김영섭,분석,191469110,89.6,88.022,88.834,0.4768 (100.4768),13 2,2023/11/21 13:47:49,
9,2048187419,(주)디지털우민,문장석,분석,191470439,89.6,88.023,88.835,0.4775 (100.4775),3 10,2023/11/22 13:48:38,
10,2118716350,(주)비엔인더스트리,이재혁,분석,191478640,89.4,88.027,88.839,0.4818 (100.4818),8 14,2023/11/21 12:50:41,
11,2041077930,라인월드정보,박선양,분석,191483856,89.4,88.029,88.841,0.4845 (100.4845),14 12,2023/11/21 14:13:36,
12,2208727337,주식회사주니파워네트웍스,노병준,분석,191484635,89.4,88.029,88.841,0.4849 (100.4849),3 7,2023/11/21 10:22:54,
13,1138672575,주식회사 시스메이트,정종균,분석,191488170,89.4,88.031,88.843,0.4868 (100.4868),9 12,2023/11/22 08:49:52,
14,4178600013,블랙썬 주식회사,이희부,분석,191489490,89.4,88.032,88.844,0.4874 (100.4874),13 14,2023/11/23 09:57:07,
15,2178141893,주식회사대웅텔레콤,전진숙,분석,191489685,89.4,88.032,88.844,0.4876 (100.4876),3 8,2023/11/22 10:07:13,
16,1088193869,(주)동명텔레콤,김경은,분석,191497690,89.2,88.036,88.848,0.4918 (100.4918),13 12,2023/11/22 08:35:59,
17,1078682044,명승파워넷 주식회사,공건식,분석,191507220,89.2,88.04,88.852,0.4968 (100.4968),3 9,2023/11/22 14:56:02,
18,1098651964,셀코정보기술 주식회사,권영용,분석,191507307,89.2,88.04,88.852,0.4968 (100.4968),8 12,2023/11/21 23:57:27,
19,6318800044,화인씨엔이 주식회사,김영심,분석,191507502,89.2,88.04,88.852,0.4969 (100.4969),6 15,2023/11/21 14:25:08,
20,1128126393,주식회사 승도이엔씨,신종성,분석,191510900,89.2,88.042,88.854,0.4987 (100.4987),2 15,2023/11/23 09:27:54,
